id;category;subcategories;creationdate;contactagreement;status;forwardtoreponseconso;tags;signalement_transmis;signalement_lu;signalement_reponse;dep_name;dep_code;reg_code;reg_name
a4982025-cc4b-4c29-930a-569e06213560;AchatInternet;Le site internet en lui-même,Autre;2023-09-01;1;NA;0;Internet,Litige contractuel;0;0;0;Val-de-Marne;94;11;Île-de-France
2b94d4aa-9809-4b2b-be5a-9720273d3f69;AchatInternet;Une commande effectuée,Commande incomplète;2023-08-21;1;Infonde;0;Internet,Litige contractuel;1;1;1;Seine-Saint-Denis;93;11;Île-de-France
8fb6da6a-425a-4e38-96a4-a6a6aa241afa;EauGazElectricite;Gaz / Électricité,Publicité mensongère ou trompeuse;2023-08-19;0;PromesseAction;0;Internet;1;1;1;Hauts-de-Seine;92;11;Île-de-France
01dc4242-4df6-40a9-af30-05cf8441ebc1;DemarchageAbusif;Je reçois des appels indésirables alors que je suis inscrit sur Bloctel,L’entreprise veut me vendre un objet ou un service alors que je ne suis pas client chez eux;2022-01-12;0;NA;0;Démarchage téléphonique;0;0;0;Finistère;29;53;Bretagne
4310b4df-f194-436f-b06a-52c1c2f2c750;Publicité;Information mensongère, publicité trompeuse;2019-09-12;0;NA;0;;0;0;0;Paris;75;11;Île-de-France
ab51b1ba-b9b3-43d6-a012-b6fdffd750aa;AchatInternet;Un produit,C'est un objet,Impossible de renvoyer un produit et de me faire rembourser,Il présente un défaut ou il ne marche plus,Neuf,Il y a moins de 2 ans;2023-11-04;1;NonConsulte;0;Produit industriel,Internet,Litige contractuel;1;0;0;Seine-Saint-Denis;93;11;Île-de-France
c1481d34-36d2-43c8-88e0-4ba7fc4f5cdd;EauGazElectricite;Gaz / Électricité,Facturation;2023-08-29;1;PromesseAction;0;Litige contractuel;1;1;1;Hauts-de-Seine;92;11;Île-de-France
ae62b986-82a1-40c9-bef7-57d044f5d2ea;TelephonieFaiMedias;Téléphonie / internet,Mon forfait : prix, contrat et facture,Autre problème de facturation ou de contrat,Autre;2023-09-01;1;PromesseAction;0;Internet;1;1;1;Paris;75;11;Île-de-France
8acbfa7d-b3b9-4c8c-91ed-2feac04846c5;Internet;Un influenceur ou une influenceuse,L'influenceur n'indique pas le caractère commercial de sa publication;2023-09-01;0;NA;0;Influenceur;0;0;0;Paris;75;11;Île-de-France
2dcf703e-a5ff-47fe-a5ce-631eafef6f5f;VoyageLoisirs;Sport,Contrat et abonnement,Contrat non respecté;2023-08-21;1;PromesseAction;0;Litige contractuel;1;1;1;Bouches-du-Rhône;13;93;Provence-Alpes-Côte d'Azur
